fund_name,fund_url,AUM (€),linkedin_url,investment_geographies,fund_description,fund_portfolio
Ceska Sporitelna,https://www.vestbee.com/lp-list/ceska-sporitelna,,https://www.linkedin.com/company/ceska-sporitelna/,"Czech Republic, CEE",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Chr. Augustinus Fabrikker,https://www.vestbee.com/lp-list/chr-augustinus-fabrikker,,https://www.linkedin.com/company/augustinusfabrikker/,"Denmark, Europe","Chr. Augustinus Fabrikker operates as an investment management firm with a core focus on dedicated ownership of Danish businesses. Through active engagement and commitment, they aim to strengthen their investments and contribute positively to the Danish business community. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Ocean 14 Capital; Seed Capital; Unconventional Ventures""; Accelerators & Corporates""; Unconventional Ventures"
Church Commissioners,https://www.vestbee.com/lp-list/church-commissioners,12000000000,https://www.linkedin.com/company/church-commissioners/about/,"UK, Global",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
CNP Assurances,https://www.vestbee.com/lp-list/cnp-assurances,320000000000,https://www.linkedin.com/company/cnp/,"Europe, France","CNP is a leading France's provider of life insurance and term creditor insurance, and the sixth-largest insurance company in Brazil. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Collective Action,https://www.vestbee.com/lp-list/collective-action,,https://www.linkedin.com/company/collective-action-for-impact/,"Netherlands, Global",Collective action is the first of its kind impact investment collaboration platform for like-minded institutional investors. The company facilitates collaboration between global investors who aim to generate measurable social and environmental impact and financial returns in private markets. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Coller Capital,https://www.vestbee.com/lp-list/coller-capital,,https://www.linkedin.com/company/coller-capital/,"NAMER, LATAM, EMEA, UK","Coller Capital is an asset management company specializing in private equity secondaries - i.e. it acquires positions in funds from LPs, and portfolios of unquoted companies. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Compagnia di San Paolo,https://www.vestbee.com/lp-list/compagnia-di-san-paolo,,https://www.linkedin.com/company/fondazione-compagnia-di-san-paolo/,"Italy, Europe","Fondazione Compagnia di San Paolo is an Italian institution focused on social, cultural, and economic development. It invest in various projects for the common good, emphasizing culture, people, and the planet. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Lunar Ventures; Accelerators & Corporates"""
Concentric,https://www.vestbee.com/lp-list/concentric,,https://www.linkedin.com/company/concentric-ventures/,"UK, Europe",Concentric is a venture capital firm and a fund of funds that partners with sector-defining founders and GPs across Europe to create new technologies that solve the problems that matter We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Portfolio Ventures; Runa Capital; 4Bio Capital""; ""Fund of funds""; Accelerators & Corporates""; 4Bio Capital; Ventures"
Connection Capital,https://www.vestbee.com/lp-list/connection-capital,,https://www.linkedin.com/company/connection-capital-llp/,"NAMER, UK","Connection Capital is a specialist syndicator of investment funds from private investors into private equity, commercial property deals & alternative asset funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Consilium,https://www.vestbee.com/lp-list/consilium,,https://www.linkedin.com/company/vestbee/,"Czech Republic, CEE",Connection Capital is a Prague based single family office of the Nemec family. The company seeks investments with strong value creation and growth potential. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Corecam Capital,https://www.vestbee.com/lp-list/corecam-capital,,https://www.linkedin.com/company/corecam/,"Switzerland, Global","Corecam is an independent investment adviser, serving global entrepreneurs and their families. It specializes in multi-asset class investment management and exclusive co-investments. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Crédit Agricole CIB,https://www.vestbee.com/lp-list/credit-agricole-cib,,https://www.linkedin.com/company/credit-agricole-cib/about/,"France, EMEA","Crédit Agricole CIB is a corporate and investment banking arm of Crédit Agricole. Company's services include structured finance, investment banking, and capital markets solutions. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Crédit Coopératif,https://www.vestbee.com/lp-list/credit-cooperatif,,https://www.linkedin.com/company/credit-cooperatif/,"France, EMEA","Crédit Coopératif is a French cooperative bank offering a range of financial products and services for individuals, associations, and companies. The bank emphasizes sustainable and socially responsible banking, focusing on ethical investments and financing projects that benefit the community and environment. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Crédit Mutuel Arkéa,https://www.vestbee.com/lp-list/credit-mutuel-arkea,,https://www.linkedin.com/company/credit-mutuel-arkea/,France,Crédit Mutuel Arkéa is a major cooperative banking group in France. It is committed to supporting both maritime activities and local communities. It is present in 19 out of 22 French regions. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Accelerators & Corporates"""
Dara5,https://www.vestbee.com/lp-list/dara5,,https://www.linkedin.com/company/dara5/,"Europe, UK",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Delin Capital,https://www.vestbee.com/lp-list/delin-capital,,https://www.linkedin.com/company/vestbee/,"UK, Europe",Delina Capital is an entrepreneurial private investment company focusing on logistics real estate and venture capital. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"""Delin Capital""; Accelerators & Corporates"""
Dunedin,https://www.vestbee.com/lp-list/dunedin,,https://www.linkedin.com/company/dunedin-llp/,UK,We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
DWS,https://www.vestbee.com/lp-list/dws,860000000000,https://www.linkedin.com/company/dwsgroup/,"NAMER, LATAM, EMEA, Germany","DWS Group is a global asset management company providing a comprehensive range of investment products and services. The company focuses on creating sustainable investment solutions, with an emphasis on responsible business practices and a commitment to ESG principles. DWS offers a diverse array of asset classes to meet various investor needs. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
EBRD,https://www.vestbee.com/lp-list/ebrd,,https://www.linkedin.com/company/ebrd/,"UK, Global","The European Bank for Reconstruction and Development (EBRD) is a multinational development bank founded in 1991 to support the transition towards open, market-oriented economies, and to promote private and entrepreneurial initiative. The EBRD invests across three continents and is a leader in climate finance. It also invests in VC funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Edmond de Rothschild Group,https://www.vestbee.com/lp-list/edmond-de-rothschild-group,174000000000,https://www.linkedin.com/company/edmond-de-rothschild/,"Switzerland, Global","The Edmond de Rothschild Group is a Geneva-based, family-owned, and independent financial institution specializing in private banking and asset management We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Amethis Europe Expansion Fund; ""Amethis Europe Expansion Fund; Accelerators & Corporates"""
Elo Mutual Pension Insurance Company,https://www.vestbee.com/lp-list/elo-mutual-pension-insurance-company,29000000000,https://www.linkedin.com/company/tyoelakeyhtio-elo/,Finland,"Elo is a Finnish pension insurance company, offering services for employers, entrepreneurs, and individuals. As a part of its investment strategy, the company has an exposure to Venture Capital. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Butterfly Ventures; the company has an exposure to Venture Capital.""; ""Butterfly Ventures; Vendep Capital""; ""Pension Fund""; Accelerators & Corporates""; Vendep Capital"
Enern Investments,https://www.vestbee.com/lp-list/enern-investments,,https://www.linkedin.com/company/vestbee/,"Czech Republic, CEE","Enern is an investment firm operating a family of investment vehicles, investing in sectors poised for enduring change. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Orbit Capital""; Accelerators & Corporates""; Orbit Capital"
Enterprise Ireland,https://www.vestbee.com/lp-list/enterprise-ireland,,https://www.linkedin.com/company/enterprise-ireland/,Ireland,"Enterprise Ireland is a government organization dedicated to the growth and development of Irish enterprises in world markets. They provide support and funding to Irish companies and entrepreneurs, aiming to foster innovation, increase exports, and drive economic growth. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Act Venture Capital; AIB Startup Accelerator; Atlantic Bridge Capital; DBIC Ventures; Delat Partners; Finch Capital Ireland; Middlegame Ventures; Suir Valley Ventures; University Bridge Fund""; Accelerators & Corporates""; University Bridge Fund"
equation,https://www.vestbee.com/lp-list/equation,,https://www.linkedin.com/company/vestbee/,"USA, Germany","Equation Capital focuses on strategic investments in emerging venture capital firms, particularly in their initial fund generations. They leverage a growing informational edge for these investments. Additionally, they are dedicated to enhancing capital allocation in private equity, both primary and secondary markets. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Green Generation Fund; Nucleus Capital; VSquared Ventures; Discovery Ventures; Planet A Ventures; 415 Capital; ""Equation Capital focuses on strategic investments in emerging venture capital firms; ""Green Generation Fund; ""Fund of funds""; Accelerators & Corporates"""
Equitable Life,https://www.vestbee.com/lp-list/equitable-life,,https://www.linkedin.com/company/equitable-life-assurance-society/,"NAMER, LATAM, EMEA, UK","Equitable Life, now a subsidiary of Utmost Life and Pensions, is a life insurance company primarily catering to Irish and German policyholders. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
E.R Capital Holding GMBH,https://www.vestbee.com/lp-list/e-r-capital-holding-gmbh,,https://www.linkedin.com/company/e-r-capital-holding/about/,"Germany, Global",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Estonian Business and Innovation Agency (fka KredEx),https://www.vestbee.com/lp-list/estonian-business-and-innovation-agency-fka-kred-ex,,https://www.linkedin.com/company/kredex/,"Estonia, CEE","Kredex is an Estonian state organisation that supports entrepreneurship and the improvement of living conditions in Estonia, increase country's international competitiveness, visibility and attractiveness as a place for business. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Eurazeo,https://www.vestbee.com/lp-list/eurazeo,34000000000,https://www.linkedin.com/company/eurazeo/,"NAMER, LATAM, EMEA, France","Eurazeo is a leading global investment company, with a diversified portfolio and offices on 4 continenets. The company focuses on private equity, private debt, and real assets, offering a range of investment strategies for mid-market companies. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
European Investment Bank,https://www.vestbee.com/lp-list/european-investment-bank,,https://www.linkedin.com/company/european-investment-bank/,"Luxembourg, EMEA","The European Investment Bank (EIB) is the European Union's non-profit lending arm, focusing on infrastructure and business development projects within and outside the EU, and is known as the world's largest multilateral lender and the foremost provider of climate finance​ We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","European Circular Bioeconomy Fund; Portugal Venture Capital Initiative; ESIF Fund-of-Funds Czech Republic; The German Future Fund (GFF) - EIF Growth Facility; ""European Circular Bioeconomy Fund; EstFund""; Accelerators & Corporates""; EstFund"
European Investment Fund (EIF),https://www.vestbee.com/lp-list/european-investment-fund-eif,,https://www.linkedin.com/company/european-investment-fund/,"Luxembourg, Europe","The European Investment Fund (EIF) is a financial institution that provides finance to small and medium-sized enterprises through private banks and funds, and is part of the European Investment Bank Group​. EIF invested in over 130 funds of various investment strategies. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","""European Investment Fund (EIF)""; Accelerators & Corporates"""
EU.VC,https://www.vestbee.com/lp-list/eu-vc,,https://www.linkedin.com/company/euvc/,"UK, Europe",We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"SMOK Ventures; ""SMOK Ventures; ""Fund of funds""; Accelerators & Corporates"""
Evalue Family Office,https://www.vestbee.com/lp-list/evalue-family-office,,https://www.linkedin.com/company/e.value/,"Germany, APAC",Evalue is a German Family Office specialized in global venture capital and private equity investments across various stages. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Evolem Start,https://www.vestbee.com/lp-list/evolem-start,,https://www.linkedin.com/company/evolem/,"France, Global","Evolem is a French multi-family office with a mission to support sustainable initiatives that promote entrepreneurship, employment, and the environment. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Extorel GmbH,https://www.vestbee.com/lp-list/extorel-gmb-h,,https://www.linkedin.com/company/extorel/about/,"Germany, Europe","Based in Germany, Extorel is a family office of the Strascheg family. Its portfolio is broadly based and includes almost all asset classes. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Family Enterprise Partners,https://www.vestbee.com/lp-list/family-enterprise-partners,,https://www.linkedin.com/company/family-enterprise-partners/about/,"Spain, Global","Family Enterprise Partners is a wealth management firm. It specializes in advising families, individuals, and institutions in wealth management. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Federal Ministry for Economic Affairs and Climate Action (BMWK),https://www.vestbee.com/lp-list/federal-ministry-for-economic-affairs-and-climate-action-bmwk,,https://www.linkedin.com/company/bmwk/,Germany,"The BMWK functions as Germany's Federal Ministry for Economic Affairs and Climate Action. it focuses on various aspects, including economic growth, public procurement, women in business, European economic policy, and renewable energy. The ministry is actively involved in transitioning Germany's energy supply towards more environmentally friendly sources, aiming to increase the share of renewables in electricity consumption We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Fraunhofer Tech Transfer Fund""; Accelerators & Corporates""; Fraunhofer Tech Transfer Fund"
Feri,https://www.vestbee.com/lp-list/feri,,https://www.linkedin.com/company/feri-ag/,"Germany, DACH",Feri is a german investment management firm. The firm manages a series of funds of funds that invest across a range of alternative assets. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Fermia,https://www.vestbee.com/lp-list/fermia,,https://www.linkedin.com/company/fermia/about/,"Czech Republic, Europe",Fermia is Czech family office managing investments of Pavel Bouška and Petr Kříž. Fermia invests in various asset classes. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Finnish Industry Investment (Tesi),https://www.vestbee.com/lp-list/finnish-industry-investment-tesi,,https://www.linkedin.com/company/finnish-industry-investment-ltd/,Finland,Tesi is a state-owned investment company that invests in venture capital and private equity funds and directly in Finnish startups and growth companies. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Accelerators & Corporates"""
Flexstone Partners,https://www.vestbee.com/lp-list/flexstone-partners,8500000000,https://www.linkedin.com/company/flexstonepartners/,"France, Global",Flexstone Partners is an investment manager and advisor specialized in private assets. The company operates globally. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Floreat Group,https://www.vestbee.com/lp-list/floreat-group,,https://www.linkedin.com/company/floreat-group/,"NAMER, LATAM, EMEA, UK","Independent and privately held investment group, serving institutions and a select group of ultra-high net worth clients We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Fondo Italiano d'investimento,https://www.vestbee.com/lp-list/fondo-italiano-d-investimento,,https://www.linkedin.com/company/fondo-italiano-d'investimento-sgr/,Italy,"Fondo Italiano d'Investimento SGR is an investment fund management company established to support the growth and internationalization of Italian small and medium enterprises, focusing on technology, innovation, and sustainability. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.","Indaco Venture Partners; United Ventures; Barcamper Ventures""; Accelerators & Corporates""; Barcamper Ventures"
Fortitude Capital Investment Limited,https://www.vestbee.com/lp-list/fortitude-capital-investment-limited,,https://www.linkedin.com/company/fortitude-capital-investments-ltd/about/,"UK, EMEA",Fortitude is a London based investment firm focused on direct and indirect early-stage technology investments. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Fund of Funds in Bulgaria (FMFIB),https://www.vestbee.com/lp-list/fund-of-funds-in-bulgaria-fmfib,,https://www.linkedin.com/company/fund-manager-of-financial-instruments-in-bulgaria/?originalSubdomain=bg,Bulgaria,FMFIB's mission is management of the Fund of Funds co-financed by the European Structural and Investment Funds (ESI Funds). FMFIB implements a wide spectrum of financial instruments to mobilise private and public resources thus fostering investment in a number of industries and sectors. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Generali,https://www.vestbee.com/lp-list/generali,,https://www.linkedin.com/company/generali/,"Italy, Europe",Generali is one of the leading primary insurance groups on the European market. In 2023 it initiated its first fund of funds destined to invest in well established VC firms. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Dawn Capital; Mundi Ventures""; Accelerators & Corporates""; Mundi Ventures"
Generaton Alfa,https://www.vestbee.com/lp-list/generaton-alfa,,https://www.linkedin.com/company/generation-alfa-sa/about/,"NAMER, Asia, Switzerland",Generation Alfa is a Swiss Independent wealth management company advising and managing assets of private and institutional clients. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Georgieff Capital,https://www.vestbee.com/lp-list/georgieff-capital,,https://www.linkedin.com/company/vestbee/,"Europe, Germany","Georgieff Capital is a financial advisory firm that specializes in corporate finance, mergers and acquisitions, and capital raising. They serve clients in Europe, focusing on mid-sized transactions in various sectors. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Golding Capital Partners,https://www.vestbee.com/lp-list/golding-capital-partners,,https://www.linkedin.com/company/golding-capital-partners/,"Germany, Europe","Golding Capital Partners is a German fund of fund. It specializes in investments in private equity with a focus on buyouts, venture capital, and mezzanine funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Goldman Sachs,https://www.vestbee.com/lp-list/goldman-sachs,,https://www.linkedin.com/company/goldman-sachs/,"USA, Global","Goldman Sachs is a multinational financial services firm providing securities, investment banking, and management services. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Hannoversche Lebensversicherung AG,https://www.vestbee.com/lp-list/hannoversche-lebensversicherung-ag,,https://www.linkedin.com/company/hannoversche-lebensversicherung-ag/,"NAMER, Europe, Germany",Hannoversche Lebensversicherung AG is a part of the VHV Group. It is an insurance company based in Hanover. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
Harbour Vest Partners,https://www.vestbee.com/lp-list/harbour-vest-partners,100000000000,https://www.linkedin.com/company/harbourvest-partners/,"UK, Global","HarbourVest is an independent global private markets firm. The company offers its clients access to a wide range of investment opportunities, including primary funds, secondary transactions, direct co-investments, real assets, and private credit. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
Hellen's Rock,https://www.vestbee.com/lp-list/hellen-s-rock,,https://www.linkedin.com/company/hellensrock/about/,"Romania, Europe",Hellen's Rock is a single family office of sacha Dragic. The company has a diversified allocation strategy - including startups and VC funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,
id4 Ventures,https://www.vestbee.com/lp-list/id4-ventures,,https://www.linkedin.com/company/id4ventures/about/,"France, Europe",id4 Ventures is a venture capital firm that specializes in pre-seed stage investing across Europe. The company also invests in VC funds. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.,"Cahnge Ventures; DN Capital; HC Capital; Hoxton Capital Management; KFund; Parade Ventures; Posssible Ventures; Runa Capital; The Fund; ""id4 Ventures""; ""Fund of funds""; Accelerators & Corporates"""
Illusian Family Office,https://www.vestbee.com/lp-list/illusian-family-office,,https://www.linkedin.com/company/illusian-family-office/?originalSubdomain=fi,"Finland, Global","Illusian is a family office of Ilkka Paananen, entrepreneur, investor, and co-founder & CEO of Supercell, the global leader in mobile games. We use cookies for analytics and to improve your experience. You agree to the use of cookies by browsing this website or closing this banner.",
